Student ID,Block,Trial,ResponseTime(ms),ErrorTimes
3552640,1,1,564,0
3552640,1,2,1135,0
3552640,1,3,547,0
3552640,1,4,1496,0
3552640,1,5,584,0
3552640,1,6,700,0
3552640,1,7,933,0
3552640,1,8,681,0
3552640,1,9,930,0
3552640,1,10,567,0
3552640,1,11,586,0
3552640,1,12,534,0
3552640,1,13,631,0
3552640,1,14,931,0
3552640,1,15,584,0
3552640,1,16,516,0
3552640,1,17,600,0
3552640,1,18,966,0
3552640,1,19,584,0
3571330,1,1,795,0
3571330,1,2,747,0
3571330,1,3,866,0
3571330,1,4,778,0
3571330,1,5,716,0
3571330,1,6,672,0
3571330,1,7,733,0
3571330,1,8,767,0
3571330,1,9,805,0
3571330,1,10,952,0
3571330,1,11,721,0
3571330,1,12,650,0
3571330,1,13,634,0
3571330,1,14,688,0
3571330,1,15,917,0
3571330,1,16,1432,0
3571330,1,17,713,0
3571330,1,18,834,0
3571330,1,19,767,0
3636895,1,1,708,0
3636895,1,2,714,0
3636895,1,3,632,0
3636895,1,4,590,0
3636895,1,5,726,0
3636895,1,6,568,0
3636895,1,7,698,0
3636895,1,8,551,0
3636895,1,9,1240,0
3636895,1,10,652,0
3636895,1,11,527,0
3636895,1,12,769,0
3636895,1,13,675,0
3636895,1,14,565,0
3636895,1,15,472,0
3636895,1,16,533,0
3636895,1,17,693,0
3636895,1,18,599,0
3636895,1,19,498,0
3644372,1,1,807,0
3644372,1,2,1481,0
3644372,1,3,638,0
3644372,1,4,667,0
3644372,1,5,700,0
3644372,1,6,629,0
3644372,1,7,583,0
3644372,1,8,753,0
3644372,1,9,719,0
3644372,1,10,700,0
3644372,1,11,816,0
3644372,1,12,984,0
3644372,1,13,903,0
3644372,1,14,939,0
3644372,1,15,1133,0
3644372,1,16,699,0
3644372,1,17,698,0
3644372,1,18,789,0
3644372,1,19,750,0
3644372,1,19,-2050,1
3670269,1,1,1017,0
3670269,1,2,1169,0
3670269,1,3,1348,0
3670269,1,4,944,0
3670269,1,5,1256,0
3670269,1,6,935,0
3670269,1,7,950,0
3670269,1,8,959,0
3670269,1,9,1357,0
3670269,1,10,950,0
3670269,1,11,1032,0
3670269,1,12,1268,0
3670269,1,13,871,0
3670269,1,14,1115,0
3670269,1,15,1291,0
3670269,1,16,1425,0
3670269,1,17,1323,0
3670269,1,18,932,0
3670269,1,19,1281,0
3675086,1,1,992,0
3675086,1,2,1203,0
3675086,1,3,1320,0
3675086,1,4,1405,0
3675086,1,5,1590,0
3675086,1,5,-1160,1
3675086,1,6,1456,0
3675086,1,7,1133,0
3675086,1,8,1496,0
3675086,1,9,1381,0
3675086,1,10,1186,0
3675086,1,11,1182,0
3675086,1,12,1082,0
3675086,1,13,1333,0
3675086,1,14,915,0
3675086,1,15,1067,0
3675086,1,15,-1118,1
3675086,1,16,2148,0
3675086,1,17,1364,0
3675086,1,18,966,0
3675086,1,19,1369,0
